english_name,arabic_name,meaning,gender
Aabad,عبد,A great worshiper of Allah,male
Aaban,ابن,"Clear, Eloquent, Lucid, Distinct .",male
Aabdar,أبْدَرٌ,"Full moon, Moonlight, Early, Bright, quick",male
Aabid,عَابِد,"Worshiper, adorer, devout, One who worships Allah.",male
Aabidullah,عَابِدُ الله,Worshiper of Allah,male
Aabir,عَابِر,"Passing by, crossing, travelling on a road, one who interprets dreams or books.",male
Aabis,عَابِس,"Stern, Lucky, fierce-faced.",male
Aadam,آدم,"Name of the first man and Prophet of Allah, father of mankind. It comes from the name Adeem, which means dust, also can be interpreted as dust/surface  since Allah created Adam from surface of the Earth",male
Aadheen,اذن,"Obedient, submissive.",male
Aadil,عَادِل,"Just, Upright,Honorable, Righteous, Noble, one who acts with justice and fairness, moderate, virtuous, excellent in character",male
Aaf,اف,Forgiveness and Forgiving,male
Aafa,عَافَة,"forgiver, pardoner, One who Forgives",male
Aafaq,آفَاق,"Horizons, The place where the earth & sky meet",male
Aafiq,أفيق,"Intelligent, Educated and Intellectual",male
Aahga,أحج,Leader,male
Aahil,أهل,Prince,male
Aaid,عائد,Restore,male
Aaidun,عائدون,Aaidun is an Arabic name for boys that means [those who are] returning.,male
Aaiz,عايز,"Arabic for replacement, something fills the place of another thing, a gift from Allah given to you in place of something that was taken from you.",male
Aaki,آكي,--,male
Aakif,اقيف,"Devoted to, dedicated to, persevering in, busily engaged, attached, intent.",male
Aakil,عَاقِل,"Intelligent, wise, discerning, sensible, reasonable, educated , one who uses reasoning",male
Aala,أَعْلى,"High Status, Greatness, Exalted, Sublime , Superb supremacy. Nobility, excellence, Height, elevation.",male
Aalam,أعلم,"The world, the universe.",male
Aalamgir,المجير,"Conqueror of the world , Brave, Strong, CourageousTitle of Mughal emperor Aurangzeb (1658-1707)",male
Aalee,الي,"Sublime, high",male
Aali,آلي,"High, Tall, High ranking, Eminent",male
Aalif,الف,"Friendly and Hospitable | Kind, Compassionate and Tenderhearted",male
Aalii,الي,High,male
Aalim,اليم,Scholar Plural is ulama normally used for religious scholors,male
Abul-kalam,بولقلام,"Father of speech, eloquent.",male
Abul-khair,بلخير,"Father of good work, virtuous.",male
Abul-khayr,بلخير,One who does good,male
Abul-mahasin,بعلمهسن,"Father of virtues, merits.",male
Abul-qasim,بلقاسم,"Father of Qasim, an attribute",male
